Id,Company,Bean Origin,Review Date,Cocoa Percent,Company Location,Rating (Out of 10)
762,Guittard,Machu Pichu,2008.0,65%,U.S.A.,5.5
763,Guittard,Special Maker Reserve,2008.0,64%,U.S.A.,5.5
764,Guittard,Ocumare,2008.0,65%,U.S.A.,6.625
765,Guittard,Quetzalcoatl,2007.0,72%,U.S.A.,6.625
766,Guittard,Chucuri,2006.0,65%,U.S.A.,5.5
767,Guittard,Sur del Lago,2006.0,65%,U.S.A.,4.375
768,Guittard,"Sambirano, Ambanja",2006.0,65%,U.S.A.,6.625
769,Guittard,"Los Rios, Quevedo",2006.0,65%,U.S.A.,6.625
770,Guittard,Tsaranta,2006.0,61%,U.S.A.,6.625
771,Guittard,Semisweet,2006.0,61%,U.S.A.,5.5
772,Habitual,Papua New Guinea,2014.0,80%,Canada,4.9375
773,Habitual,Campesino w/ nibs,2014.0,74%,Canada,4.9375
774,Habitual,Dominican Republic,2014.0,75%,Canada,6.0625
775,Habitual,Trinitario,2014.0,70%,Canada,6.625
776,Habitual,Downtown London,2014.0,65%,Canada,4.9375
777,Habitual,Africa meets Latina,2014.0,70%,Canada,5.5
778,Habitual,Amazonas,2014.0,80%,Canada,5.5
779,Habitual,Sharkey,2014.0,66%,Canada,6.0625
780,Habitual,one hundred,2014.0,100%,Canada,3.25
781,Hachez,Arriba,2007.0,77%,Germany,4.375
782,Hacienda El Castillo,Don Homero- Cerecita Valley,2014.0,55%,Ecuador,4.9375
783,Hacienda El Castillo,Don Homero- Cerecita Valley,2014.0,70%,Ecuador,5.5
784,Haigh,South America and Africa,2011.0,70%,Australia,5.5
785,Harper Macaw,"Vale do Juliana, w/ nibs",2016.0,85%,U.S.A.,6.0625
786,Harper Macaw,Brazil Blend,2015.0,67%,U.S.A.,5.5
787,Harper Macaw,"Tome Acu E., Amazon Rainforest",2015.0,77%,U.S.A.,6.625
788,Harper Macaw,"Vale do Juliana E., Atlantic Forest",2015.0,74%,U.S.A.,6.625
789,Heilemann,Peru,2016.0,64%,Germany,4.9375
790,Heirloom Cacao Preservation (Brasstown),"Maya Mtn, Moho R., Toledo D., 2015",2016.0,70%,U.S.A.,6.0625
791,Heirloom Cacao Preservation (Fruition),"Cota Brus, Terciopelo, 2015",2016.0,74%,U.S.A.,6.625
792,Heirloom Cacao Preservation (Guittard),"Alto Beni, Upper Rio Beni, 2014",2014.0,67%,U.S.A.,6.625
793,Heirloom Cacao Preservation (Guittard),"Wild Beni, Lower Rio Beni, Tranquilidad, 2014",2014.0,67%,U.S.A.,5.5
794,Heirloom Cacao Preservation (Guittard),"Los Rios, Hacienda Limon, Orecao, 2014",2014.0,67%,U.S.A.,7.1875
795,Heirloom Cacao Preservation (Guittard),"Maunawili, O'ahu, Agri Research C., 2014",2014.0,67%,U.S.A.,7.1875
796,Heirloom Cacao Preservation (Manoa),"Maunawili, O'ahu, Agri Research C., 2015",2016.0,72%,U.S.A.,6.625
797,Heirloom Cacao Preservation (Millcreek),"Los Rios, Hacienda Limon, Orecao, 2015",2016.0,70%,U.S.A.,6.625
798,Heirloom Cacao Preservation (Mindo),"Pinchincha, Mindo, Coop Nueva Esper., 2015",2016.0,77%,U.S.A.,6.625
799,Heirloom Cacao Preservation (Zokoko),"Alto Beni, Upper Rio Beni, 2015",2016.0,68%,U.S.A.,7.1875
800,Heirloom Cacao Preservation (Zokoko),"Wild Beni, Lower Rio Beni, Tranquilidad, 2015",2016.0,72%,U.S.A.,7.75
801,hello cocoa,Uganda,2015.0,57%,U.S.A.,4.9375
802,hello cocoa,Venezuela,2015.0,74%,U.S.A.,6.625
803,hexx,Tanzania,2015.0,70%,U.S.A.,4.9375
804,hexx,Madagascar,2015.0,74%,U.S.A.,5.5
805,hexx,Venezuela,2015.0,70%,U.S.A.,5.5
806,hexx,Ecuador,2015.0,73%,U.S.A.,6.0625
807,hexx,Peru,2015.0,70%,U.S.A.,6.0625
808,Hogarth,Akesson's Estate,2016.0,70%,New Zealand,4.9375
809,Hogarth,Carenero Superior,2016.0,72%,New Zealand,4.9375
810,Hogarth,Conacado,2016.0,75%,New Zealand,6.0625
811,Hogarth,Gran Blanco,2016.0,66%,New Zealand,6.625
812,Hoja Verde (Tulicorp),Arriba,2009.0,80%,Ecuador,3.25
813,Hoja Verde (Tulicorp),Manabi,2009.0,80%,Ecuador,4.375
814,Hoja Verde (Tulicorp),Arriba,2009.0,72%,Ecuador,5.5
815,Hoja Verde (Tulicorp),Arriba,2009.0,58%,Ecuador,6.0625
816,Hoja Verde (Tulicorp),Manabi,2009.0,58%,Ecuador,6.625
817,Holy Cacao,Maranon,2016.0,70%,Israel,4.9375
818,Holy Cacao,"Camino Verde P., Balao, Guayas",2015.0,70%,Israel,6.625
819,Holy Cacao,Sambirano,2015.0,70%,Israel,6.625
820,Holy Cacao,Gran Couva,2015.0,70%,Israel,6.625
821,Holy Cacao,Mara,2015.0,70%,Israel,6.625
822,Holy Cacao,Ivory Coast,2009.0,70%,Israel,4.375
823,Holy Cacao,Hispaniola,2009.0,70%,Israel,4.9375
824,Holy Cacao,San Martin,2009.0,70%,Israel,6.625
825,Holy Cacao,Hispaniola w/ nibs,2009.0,75%,Israel,7.1875
826,Honest,"Ecuador, w/ nibs",2014.0,72%,South Africa,4.375
827,Hotel Chocolat,"Pepiniere, single Cote",2015.0,70%,U.K.,4.9375
828,Hotel Chocolat,"Marcial, single Cote, 2012",2013.0,70%,U.K.,7.75
829,Hotel Chocolat,"Island Growers, 2012, 120hr c.",2013.0,100%,U.K.,2.6875
830,Hotel Chocolat (Coppeneur),Trinidad,2013.0,75%,U.K.,5.5
831,Hotel Chocolat (Coppeneur),Mekong Delta & Dong Nai,2013.0,80%,U.K.,6.625
832,Hotel Chocolat (Coppeneur),"Los Rios, H. Iara",2013.0,90%,U.K.,5.5
833,Hotel Chocolat (Coppeneur),"Somia Plantation, Akesson, 2012",2013.0,72%,U.K.,5.5
834,Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012",2013.0,82%,U.K.,6.625
835,Hotel Chocolat (Coppeneur),"Chanchamayo, Pichanadi, 2012, 60hr c.",2013.0,100%,U.K.,4.9375
836,Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012, 120hr c.",2013.0,100%,U.K.,4.375
837,Hotel Chocolat (Coppeneur),"Conacado, 2012, 120hr c.",2013.0,100%,U.K.,4.9375
838,Hotel Chocolat (Coppeneur),Sambirano,2012.0,66%,U.K.,6.625
839,Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 96hr c.",2011.0,80%,U.K.,5.5
840,Hotel Chocolat (Coppeneur),"Island Growers, 120hr c.",2011.0,65%,U.K.,5.5
841,Hotel Chocolat (Coppeneur),"Island Growers, 96hr c.",2011.0,65%,U.K.,6.0625
842,Hotel Chocolat (Coppeneur),Ecuador,2010.0,70%,U.K.,4.9375
843,Hotel Chocolat (Coppeneur),Santo Domingo,2010.0,70%,U.K.,5.5
844,Hotel Chocolat (Coppeneur),Chuao,2010.0,70%,U.K.,4.9375
845,Hotel Chocolat (Coppeneur),St. Lucia,2008.0,72%,U.K.,5.5
846,Hotel Chocolat (Coppeneur),Uganda,2008.0,80%,U.K.,4.375
847,Hotel Chocolat (Coppeneur),Tanzania,2008.0,75%,U.K.,4.9375
848,Hotel Chocolat (Coppeneur),Uba Budo,2008.0,72%,U.K.,5.5
849,Hummingbird,Lam Dong,2015.0,70%,Canada,6.625
850,Hummingbird,Bolivia,2014.0,70%,Canada,5.5
851,Hummingbird,"Bolivia, Bo-nib-ia, w/ nibs",2014.0,70%,Canada,5.5
852,Hummingbird,Momotombo,2014.0,70%,Canada,5.5
853,Hummingbird,Hispaniola,2014.0,70%,Canada,7.1875
854,Hummingbird,Zorzal Reserva w/ Charles Kerchner,2014.0,70%,Canada,6.625
855,Hummingbird,"Ocumare, Cumboto",2013.0,70%,Canada,6.0625
856,Hummingbird,Amazonas,2013.0,70%,Canada,7.1875
857,Idilio (Felchlin),"Chuao, Venezuela",2013.0,72%,Switzerland,7.1875
858,Idilio (Felchlin),Coopertiva Amazona,2011.0,72%,Switzerland,7.1875
859,Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, 48hr c.",2011.0,72%,Switzerland,7.1875
860,Idilio (Felchlin),"Choroni, Finca Torres, 48hr c.",2011.0,72%,Switzerland,6.0625
861,Idilio (Felchlin),"Ocumare, H. Cata, 48hr c.",2011.0,72%,Switzerland,7.1875
862,Idilio (Felchlin),"Porcelana, Zulia",2011.0,74%,Switzerland,7.75
863,Idilio (Felchlin),"Ocumare, H. Cata, w/ nibs",2011.0,72%,Switzerland,6.625
864,Idilio (Felchlin),"Carenero Superior, Urrutia, Barlovento",2011.0,70%,Switzerland,7.75
865,Idilio (Felchlin),Coopertiva Amazona w/ nibs,2011.0,72%,Switzerland,7.75
866,Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, w/ nibs",2011.0,72%,Switzerland,7.75
867,Indah,India (south),2016.0,61%,India,4.375
868,Indaphoria,La Red,2012.0,70%,U.S.A.,6.0625
869,Indaphoria,"Conacado, Manifesto",2012.0,70%,U.S.A.,4.9375
870,Indi,Honduras,2014.0,77%,U.S.A.,5.5
871,iQ Chocolate,"Satipo region, white label",2012.0,72%,Scotland,4.9375
872,iQ Chocolate,black label,2012.0,72%,Scotland,5.5
873,Isidro,Madagascar,2014.0,72%,U.S.A.,6.625
874,Isidro,Peru,2014.0,72%,U.S.A.,3.8125
875,Isidro,Belize,2014.0,72%,U.S.A.,6.0625
876,Isidro,Dominican Republic,2014.0,72%,U.S.A.,6.0625
877,Izard,"Maya Mountain, Toledo, Batch 29",2015.0,70%,U.S.A.,6.625
878,Izard,"Elvesia P., Batch 32",2015.0,70%,U.S.A.,4.9375
879,Jacque Torres,Trinatario Treasure,2006.0,71%,U.S.A.,3.25
880,Jordis,Madagascar,2015.0,63%,Czech Republic,4.9375
881,Just Good Chocolate,Belize,2014.0,70%,U.S.A.,6.625
882,Just Good Chocolate,Madagascar,2014.0,70%,U.S.A.,6.625
883,Just Good Chocolate,Peru,2014.0,70%,U.S.A.,7.75
884,Kah Kow,"Rizek Cacao, Cibao Valley, Domin. Rep.",2013.0,70%,Domincan Republic,6.625
885,Kah Kow,"Rizek Cacao, Domin. Rep.",2013.0,82%,Domincan Republic,5.5
886,Kah Kow,"Rizek Cacao, Domin. Rep.",2013.0,55%,Domincan Republic,6.0625
887,Kah Kow,"Rizek Cacao, Domin. Rep.",2013.0,62%,Domincan Republic,6.0625
888,Kakao,Peru,2012.0,64%,Germany,4.375
889,Kakao,Vanuatu,2009.0,65%,Germany,7.1875
890,Kallari (Ecuatoriana),Sisa 36hr/ W. F. blend prototype,2008.0,70%,Ecuador,5.5
891,Kallari (Ecuatoriana),Sisa's Secret/ original micro,2008.0,70%,Ecuador,6.625
892,Kallari (Ecuatoriana),Roberto,2008.0,75%,Ecuador,4.9375
893,Kallari (Ecuatoriana),Diego/ original micro,2008.0,85%,Ecuador,4.375
894,Kallari (Ecuatoriana),Diego 48hr/ W.F. blend prototype,2008.0,85%,Ecuador,4.9375
895,Kallari (Ecuatoriana),Diego 60hr/ W.F. blend prototype,2008.0,85%,Ecuador,5.5
896,Kallari (Ecuatoriana),Cacao Nacional W.F.,2008.0,75%,Ecuador,4.375
897,Kallari (Ecuatoriana),Cacao Nacional W.F.,2008.0,85%,Ecuador,5.5
898,Kaoka (Cemoi),Noir,2009.0,70%,France,4.9375
899,Kaoka (Cemoi),Ecuador,2009.0,80%,France,4.9375
900,Kerchner,"La Red, Project Reserva, Guaconejo",2013.0,70%,U.S.A.,7.1875
901,Ki' Xocolatl,Dark,2009.0,72%,Mexico,3.25
902,Kiskadee,"La Red, Guanconjeco",2014.0,60%,U.S.A.,5.5
903,Kto,San Martin,2014.0,72%,U.S.A.,4.375
904,Kto,Ocumare,2014.0,72%,U.S.A.,4.9375
905,Kto,Belize,2014.0,72%,U.S.A.,5.5
906,Kto,Sambirano Valley,2014.0,72%,U.S.A.,6.0625
907,Kto,Belize,2014.0,90%,U.S.A.,6.0625
908,Kto,Elvesia,2014.0,72%,U.S.A.,6.0625
909,Kto,ROIG,2014.0,72%,U.S.A.,6.0625
910,K'ul,"Kafupbo, Petit Bourg, De Borgnes",2016.0,70%,U.S.A.,6.0625
911,K'ul,"Maranon, Fortunato No. 4",2016.0,70%,U.S.A.,4.9375
912,K'ul,"Los Rios, Hacienda Limon, Heirloom",2016.0,70%,U.S.A.,7.1875
913,K'ul,"Bahia, Fazenda Camboa",2016.0,70%,U.S.A.,7.1875
914,Kyya,Uganda,2014.0,72.50%,U.S.A.,4.375
915,Kyya,Hispaniola,2014.0,72.50%,U.S.A.,5.5
916,Kyya,Ecuador,2014.0,72.50%,U.S.A.,4.375
917,Kyya,Madagascar,2014.0,72.50%,U.S.A.,5.5
918,L.A. Burdick (Felchlin),Peru,2012.0,74%,U.S.A.,6.0625
919,L.A. Burdick (Felchlin),Brazil,2012.0,70%,U.S.A.,7.75
920,L.A. Burdick (Felchlin),Chuao,2012.0,68%,U.S.A.,7.1875
921,L.A. Burdick (Felchlin),Quito,2011.0,74%,U.S.A.,7.1875
922,L.A. Burdick (Felchlin),Grenada,2010.0,75%,U.S.A.,6.0625
923,L.A. Burdick (Felchlin),Dominican Republic,2010.0,74%,U.S.A.,7.1875
924,L.A. Burdick (Felchlin),Venzuela,2010.0,71%,U.S.A.,5.5
925,L.A. Burdick (Felchlin),Madagascar,2009.0,64%,U.S.A.,6.625
926,L.A. Burdick (Felchlin),Bolivian,2009.0,68%,U.S.A.,5.5
927,La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 6, brown sugar",2016.0,70%,Japan,3.8125
928,La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 7",2016.0,70%,Japan,4.375
929,La Chocolaterie Nanairo,"Tumbes, 2013 Harvest, Batch 8",2016.0,70%,Japan,5.5
930,La Chocolaterie Nanairo,"Belize, 2014 Harvest, Batch 9",2016.0,70%,Japan,5.5
931,La Maison du Chocolat (Valrhona),"Cuana, 2013",2013.0,74%,France,4.9375
932,La Maison du Chocolat (Valrhona),Tobago,2013.0,60%,France,6.0625
933,La Maison du Chocolat (Valrhona),"Acarigua, w/ nibs",2013.0,56%,France,6.0625
934,La Maison du Chocolat (Valrhona),Loma Sotavento,2012.0,66%,France,6.625
935,La Maison du Chocolat (Valrhona),Grenada,2011.0,68%,France,6.625
936,La Maison du Chocolat (Valrhona),Akosombo,2009.0,68%,France,6.0625
937,La Maison du Chocolat (Valrhona),"Porcelana, Pariguan",2009.0,69%,France,6.625
938,La Maison du Chocolat (Valrhona),Kuruba,2009.0,60%,France,5.5
939,La Maison du Chocolat (Valrhona),Orinoco,2009.0,60%,France,7.1875
940,La Maison du Chocolat (Valrhona),"Cuana, 2008",2008.0,74%,France,6.625
941,La Oroquidea,Peruvian Amazon,2011.0,72%,Peru,4.375
942,La Pepa de Oro,Vinces,2011.0,60%,Ecuador,6.0625
943,Laia aka Chat-Noir,"Madagascar, Batch 59/100",2015.0,75%,France,4.9375
944,Laia aka Chat-Noir,"Vietnam, Batch 50/100",2015.0,75%,France,4.9375
945,Laia aka Chat-Noir,"Cuba, Batch 59/100",2015.0,75%,France,5.5
946,Laia aka Chat-Noir,"Peru, Batch 51/100",2015.0,75%,France,6.0625
947,Laia aka Chat-Noir,"Ivory Coast, Batch 56/100",2015.0,75%,France,5.5
948,Laia aka Chat-Noir,"Sao Tome, Batch 151",2015.0,75%,France,6.625
949,Laia aka Chat-Noir,"Bahia, Batch 148",2015.0,75%,France,6.0625
950,Laia aka Chat-Noir,"Lam Dong, Batch 153",2015.0,75%,France,7.1875
951,Laia aka Chat-Noir,Cuba,2014.0,70%,France,4.9375
952,Laia aka Chat-Noir,Trinidad-Tobago,2014.0,68%,France,4.9375
953,Lajedo do Ouro,Catongo,2012.0,70%,Brazil,6.625
954,Lake Champlain (Callebaut),Tanzania,2009.0,75%,U.S.A.,4.375
955,L'Amourette,Rugoso,2016.0,80%,U.S.A.,6.625
956,L'Amourette,Carenero Superior,2012.0,75%,U.S.A.,5.5
957,L'Amourette,Rio Caribe,2012.0,75%,U.S.A.,5.5
958,L'Amourette,Blend,2012.0,72%,U.S.A.,5.5
959,Letterpress,"La Masica, Batch 7, FHIA",2017.0,70%,U.S.A.,6.625
960,Letterpress,"Maya Mtn, Batch 18, Heirloom",2017.0,70%,U.S.A.,6.0625
961,Letterpress,Liberia,2016.0,70%,U.S.A.,6.0625
962,Letterpress,Beniamo,2015.0,70%,U.S.A.,6.0625
963,Letterpress,"San Juan Estate, Gran Couva",2015.0,70%,U.S.A.,6.625
964,Letterpress,San Andres,2015.0,70%,U.S.A.,5.5
965,Letterpress,"La Red, Guaconejo",2015.0,70%,U.S.A.,6.0625
966,Letterpress,Kokoa Kamili,2015.0,70%,U.S.A.,6.625
967,Letterpress,Maranura,2014.0,70%,U.S.A.,6.625
968,Levy,Sambirano,2014.0,71%,Finland,6.625
969,Lilla,Madagascar,2016.0,70%,Finland,5.5
970,Lillie Belle,Perfect Illusion,2012.0,65%,U.S.A.,6.625
971,Lillie Belle,"Bolivia, Wild Thing",2012.0,68%,U.S.A.,6.625
972,Lillie Belle,La Selva,2012.0,68%,U.S.A.,7.1875
973,Lillie Belle,Purple Haze,2012.0,75%,U.S.A.,4.9375
974,Lillie Belle,"The Other One, Grand Cru",2012.0,74%,U.S.A.,5.5
975,Lillie Belle,Wild Thing,2012.0,68%,U.S.A.,6.625
976,Lindt & Sprungli,Excellence (US Version),2007.0,85%,Switzerland,5.5
977,Loiza,Puerto Rico,2013.0,65%,Puerto Rico,4.375
978,Lonohana,"Haleiwa, O'ahu; Lonohana E., Kanahiku",2014.0,70%,U.S.A.,7.1875
979,Lonohana,"Haleiwa E, O'ahu, 2014",2014.0,65%,U.S.A.,6.0625
980,Lonohana,"Haleiwa E, O'ahu, 2014",2014.0,75%,U.S.A.,7.1875
981,Lonohana,"Opaeula Estate, O'ahu, Nene, CG Exclusive",2013.0,71%,U.S.A.,5.5
982,Lonohana,"Opaeula Estate, O'ahu, Ele'ele",2013.0,72%,U.S.A.,5.5
983,Lonohana,"Hawaiian Crown, Kona Vanilla",2013.0,70%,U.S.A.,6.625
984,Love Bar,Nicaragua,2015.0,75%,U.S.A.,3.25
985,Luker,Selva,2010.0,46%,Colombia,4.9375
986,Luker,Macondo,2010.0,60%,Colombia,5.5
987,Luker,Misterio,2010.0,58%,Colombia,5.5
988,Luker,Santander,2010.0,65%,Colombia,6.625
989,Machu Picchu Trading Co.,Peru,2011.0,70%,Peru,2.125
990,Machu Picchu Trading Co.,Peru,2010.0,55%,Peru,3.8125
991,Madecasse (Cinagra),Madagascar,2008.0,67%,Madagascar,6.625
992,Madecasse (Cinagra),Madagascar,2008.0,70%,Madagascar,7.1875
993,Madecasse (Cinagra),Madagascar,2008.0,63%,Madagascar,7.75
994,Madecasse (Cinagra),Madagascar,2008.0,75%,Madagascar,6.625
995,Madre,Guadalcanal,2017.0,73%,U.S.A.,6.625
996,Madre,Puerto Rico,2013.0,70%,U.S.A.,4.9375
997,Madre,Brazil,2013.0,70%,U.S.A.,6.625
998,Madre,"Choobua, Kona",2013.0,70%,U.S.A.,4.9375
999,Madre,"Xocunusco, Chiapas, Pichucalco",2013.0,70%,U.S.A.,4.9375
1000,Madre,"Hamakua Coast, Kokoleka",2012.0,70%,U.S.A.,6.0625
1001,Madre,"Criollo, Hawaii",2012.0,70%,U.S.A.,6.0625
1002,Madre,Kaua'i,2012.0,70%,U.S.A.,6.625
1003,Madre,Dominican,2011.0,70%,U.S.A.,4.375
1004,Madre,Upala,2011.0,70%,U.S.A.,4.9375
1005,Madre,"Chiapas, Triple Cacao",2010.0,72%,U.S.A.,4.9375
1006,Maglio,Africa,2008.0,75%,Italy,3.25
1007,Maglio,Ecuador,2008.0,70%,Italy,5.5
1008,Maglio,Cuba,2008.0,70%,Italy,6.0625
1009,Maglio,Santo Domingo,2008.0,70%,Italy,7.1875
1010,Majani,Ecuador,2010.0,70%,Italy,3.25
1011,Malagasy (Chocolaterie Robert),Sambirano 2006,2007.0,75%,Madagascar,4.9375
1012,Malagasy (Chocolaterie Robert),Mora Mora 2006,2007.0,73%,Madagascar,6.625
1013,Malagos,"Davao, Mt. Talamo foothills",2013.0,65%,Philippines,6.625
1014,Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs",2010.0,55%,U.S.A.,6.625
1015,Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate",2009.0,55%,U.S.A.,4.9375
1016,Malmo,Chuao,2016.0,70%,Sweden,5.5
1017,Mana,Ecuador,2015.0,74%,U.S.A.,4.375
1018,Mana,Peru,2014.0,74%,U.S.A.,4.375
1019,Mana,Venezuela,2014.0,74%,U.S.A.,4.9375
1020,Mana,Conacado,2012.0,74%,U.S.A.,7.1875
1021,Manifesto Cacao,Colombia,2014.0,70%,Colombia,4.9375
1022,Manoa,Markham Valley,2015.0,72%,U.S.A.,6.625
1023,Manoa,Coto Brus,2015.0,72%,U.S.A.,7.1875
1024,Manoa,"Waiahole, O'ahu",2013.0,72%,U.S.A.,7.1875
1025,Manoa,"Liberia, #174",2012.0,72%,U.S.A.,6.0625
1026,Manoa,"Hamakua, Hawaiian Crown, #176",2012.0,72%,U.S.A.,4.9375
1027,Manoa,Piura,2012.0,72%,U.S.A.,5.5
1028,Manoa,"Oahu, Winward, #151, Maunawili district",2012.0,72%,U.S.A.,6.0625
1029,Manufaktura Czekolady,Johe,2016.0,70%,Poland,7.1875
1030,Manufaktura Czekolady,Peru,2016.0,70%,Poland,6.625
1031,Manufaktura Czekolady,Porcelana,2014.0,70%,Poland,7.1875
1032,Manufaktura Czekolady,Kolumbia,2014.0,85%,Poland,6.625
1033,Manufaktura Czekolady,Grand Cru Dominican Republic,2012.0,70%,Poland,6.0625
1034,Manufaktura Czekolady,Grand Cru Ghana,2012.0,70%,Poland,6.625
1035,Manufaktura Czekolady,Grand Cru Ecuador,2012.0,70%,Poland,6.0625
1036,Map Chocolate,"Ben Tre, Surprise Valley",2016.0,75%,U.S.A.,6.0625
1037,Map Chocolate,"ROIG, 2014",2015.0,70%,U.S.A.,6.625
1038,Map Chocolate,"Maranon, 2014",2015.0,62%,U.S.A.,6.625
1039,Map Chocolate,Ecuador,2015.0,70%,U.S.A.,6.625
1040,Map Chocolate,"San Juan Estate, Cherry Blossoms at Night",2015.0,70%,U.S.A.,4.9375
1041,Map Chocolate,"A case of the Xerces Blues, triple roast",2015.0,70%,U.S.A.,6.625
1042,Map Chocolate,"Tumbes, Dear Mr. Finley, 2014",2015.0,68%,U.S.A.,6.625
1043,Map Chocolate,Colombia,2015.0,75%,U.S.A.,4.9375
1044,Map Chocolate,"Kakoa Kamili, Both Man & Bird & Beast",2015.0,72%,U.S.A.,5.5
1045,Map Chocolate,Le Chocolat Chaud,2015.0,78%,U.S.A.,6.625
1046,Marana,Piura,2016.0,70%,Peru,5.5
1047,Marana,Cusco,2016.0,70%,Peru,4.9375
1048,Marana,San Martin,2016.0,70%,Peru,5.5
1049,Marigold's Finest,Cacao Nib Crunch,2016.0,75%,Canada,6.0625
1050,Marou,"Tan Phu Dong Island, Heart of Darkness",2015.0,85%,Vietnam,6.0625
1051,Marou,Ben Tre,2015.0,68%,Vietnam,6.625
1052,Marou,"Dak Lak, Batch 2451",2015.0,70%,Vietnam,7.1875
1053,Marou,"Tan Phu Dong, Treasure Island",2013.0,75%,Vietnam,6.625
1054,Marou,Ba Ria,2012.0,76%,Vietnam,6.625
1055,Marou,Dong Nai,2012.0,72%,Vietnam,6.625
1056,Marou,"Tien Giang, Gao Co-op",2012.0,70%,Vietnam,6.625
1057,Marou,Ben Tre,2012.0,78%,Vietnam,6.625
1058,Marou,Tien Giang,2012.0,80%,Vietnam,5.5
1059,Marou,Lam Dong,2012.0,74%,Vietnam,6.625
1060,Mars,"Matina 1-6, prototype",2010.0,65%,U.S.A.,5.5
1061,Mars,Ivory Coast,2010.0,65%,U.S.A.,5.5
1062,Mars,Nigeria,2010.0,65%,U.S.A.,6.0625
1063,Mars,"Ghana, prototype",2010.0,65%,U.S.A.,6.625
1064,Marsatta,Dominican Republic,2013.0,74%,U.S.A.,3.8125
1065,Marsatta,Dominican Republic,2013.0,89%,U.S.A.,4.375
1066,Martin Mayer,Alto Beni,2016.0,76%,Austria,4.9375
1067,Martin Mayer,Pisa,2016.0,82%,Austria,5.5
1068,Martin Mayer,Tumaco,2016.0,74%,Austria,6.0625
1069,Mast Brothers,Guatemala,2015.0,76%,U.S.A.,5.5
1070,Mast Brothers,Tanzania,2015.0,74%,U.S.A.,6.0625
1071,Mast Brothers,French Laundry 20th Anniversary,2014.0,75%,U.S.A.,7.1875
1072,Mast Brothers,Shake Shack,2012.0,73%,U.S.A.,6.625
1073,Mast Brothers,Madagascar,2012.0,72%,U.S.A.,4.375
1074,Mast Brothers,Chuao,2012.0,73%,U.S.A.,4.9375
1075,Mast Brothers,Brooklyn Blend,2011.0,72%,U.S.A.,6.625
1076,Mast Brothers,"Chuao, Med. Roast",2011.0,76%,U.S.A.,5.5
1077,Mast Brothers,"Chuao, Dark Roast",2011.0,70%,U.S.A.,5.5
1078,Mast Brothers,"Chuao, Light Roast",2011.0,81%,U.S.A.,4.9375
1079,Mast Brothers,Moho River,2011.0,70%,U.S.A.,6.625
1080,Mast Brothers,Papua New Guinea,2011.0,71%,U.S.A.,4.9375
1081,Mast Brothers,San Martin,2011.0,75%,U.S.A.,5.5
1082,Mast Brothers,Conacado,2011.0,73%,U.S.A.,6.0625
1083,Mast Brothers,"La Red de Guanconejo, N. Highlands coop",2011.0,74%,U.S.A.,7.1875
1084,Mast Brothers,Patanemo,2010.0,81%,U.S.A.,4.9375
1085,Mast Brothers,Ocumare de la Costa,2010.0,75%,U.S.A.,5.5
1086,Mast Brothers,"Dominican Republic, Coop",2010.0,70%,U.S.A.,6.0625
1087,Matale,"Malekula P., 2013",2013.0,72%,Australia,6.625
1088,Matale,"Somia, 2013",2013.0,68%,Australia,7.75
1089,Matale,"Kulili P., 2013",2013.0,74%,Australia,7.75
1090,Matale,Blend,2013.0,70%,Australia,7.1875
1091,Maverick,Maya Mountain,2014.0,70%,U.S.A.,6.0625
1092,Maverick,Elvesia,2014.0,70%,U.S.A.,6.0625
1093,Maverick,Tumbes,2014.0,82%,U.S.A.,6.0625
1094,Maverick,"Morropon, Norandiono Coop, Piura",2014.0,63%,U.S.A.,6.625
1095,Mayacama,Hispaniola,2016.0,72%,U.S.A.,5.5
1096,Meadowlands,Bolivia,2014.0,70%,U.S.A.,4.375
1097,Meadowlands,Venezuela,2014.0,70%,U.S.A.,4.9375
1098,Meadowlands,Belize,2014.0,70%,U.S.A.,5.5
1099,Meadowlands,"Nicaragua, w/ inbs",2014.0,70%,U.S.A.,5.5
1100,Meadowlands,Dominican Republic,2014.0,70%,U.S.A.,6.625
1101,Menakao (aka Cinagra),Madagascar,2012.0,80%,Madagascar,4.375
1102,Menakao (aka Cinagra),Madagascar,2012.0,72%,Madagascar,4.375
1103,Mesocacao,El Salvador,2015.0,80%,Honduras,4.9375
1104,Mesocacao,El Salvador,2015.0,70%,Honduras,5.5
1105,Mesocacao,Honduras,2014.0,80%,Honduras,6.0625
1106,Mesocacao,Honduras,2014.0,70%,Honduras,6.625
1107,Mesocacao,"La Tronca, Matagalpa",2014.0,70%,Honduras,6.0625
1108,Mesocacao,"La Tronca, Matagalpa",2014.0,80%,Honduras,6.625
1109,Metiisto,"Fazenda Sempre Firme P., Bahia",2014.0,70%,Sweden,5.5
1110,Metiisto,Akesson Estate,2014.0,72%,Sweden,6.625
